id,item,art_url,updatedAt
beef-brisket,Beef Brisket,assets/ingredients/1_supply_brisket.png,2026-09-02T00:00:00.000Z
beef-chuck-roast,Beef Chuck Roast,assets/ingredients/1_supply_steak.png,2026-09-02T00:00:00.000Z
beef-flank,Beef Flank,assets/ingredients/1_supply_steak.png,2026-09-02T00:00:00.000Z
beef-ribeye,Beef Ribeye,assets/ingredients/1_supply_ribeye.png,2026-09-02T00:00:00.000Z
beef-round,Beef Round,assets/ingredients/1_supply_steak.png,2026-09-02T00:00:00.000Z
beef-shank,Beef Shank,assets/ingredients/1_supply_steak.png,2026-09-02T00:00:00.000Z
beef-short-ribs,Beef Short Ribs,assets/ingredients/1_supply_ribs.png,2026-09-02T00:00:00.000Z
beef-sirloin,Beef Sirloin,assets/ingredients/1_supply_steak.png,2026-09-02T00:00:00.000Z
beef-skirt-hanger,Beef Skirt/Hanger,assets/ingredients/1_supply_steak.png,2026-09-02T00:00:00.000Z
beef-small-intestine,Beef Small Intestine,assets/ingredients/1_supply_steak.png,2026-09-02T00:00:00.000Z
beef-stew-trim,Beef Stew Trim,assets/ingredients/1_supply_meat_chunks.png,2026-09-02T00:00:00.000Z
beef-strip,Beef Strip,assets/ingredients/1_supply_steak.png,2026-09-02T00:00:00.000Z
beef-tenderloin,Beef Tenderloin,assets/ingredients/1_supply_steak.png,2026-09-02T00:00:00.000Z
beef-tongue,Beef Tongue,assets/ingredients/1_supply_steak.png,2026-09-02T00:00:00.000Z
beef-trim,Beef Trim,assets/ingredients/1_supply_meat_scraps.png,2026-09-02T00:00:00.000Z
chicken-breast,Chicken Breast,assets/ingredients/ingredient_raw_poultry_bird.png,2026-09-02T00:00:00.000Z
chicken-drumstick,Chicken Drumstick,assets/ingredients/ingredient_raw_poultry_bird.png,2026-09-02T00:00:00.000Z
chicken-thigh,Chicken Thigh,assets/ingredients/ingredient_raw_poultry_bird.png,2026-09-02T00:00:00.000Z
chicken-trim,Chicken Trim,assets/ingredients/1_supply_meat_scraps.png,2026-09-02T00:00:00.000Z
chicken-wings,Chicken Wings,assets/ingredients/ingredient_raw_poultry_bird.png,2026-09-02T00:00:00.000Z
goat-leg,Goat Leg,assets/ingredients/1_supply_lamb_chops.png,2026-09-02T00:00:00.000Z
goat-loin,Goat Loin,assets/ingredients/1_supply_lamb_chops.png,2026-09-02T00:00:00.000Z
goat-ribs,Goat Ribs,assets/ingredients/1_supply_ribs.png,2026-09-02T00:00:00.000Z
goat-shoulder,Goat Shoulder,assets/ingredients/1_supply_lamb_chops.png,2026-09-02T00:00:00.000Z
goat-stew-trim,Goat Stew Trim,assets/ingredients/1_supply_lamb_chops.png,2026-09-02T00:00:00.000Z
ground-beef,Ground Beef,assets/ingredients/1_supply_ground_beef.png,2026-09-02T00:00:00.000Z
lamb-leg,Lamb Leg,assets/ingredients/1_supply_lamb_chops.png,2026-09-02T00:00:00.000Z
lamb-loin,Lamb Loin,assets/ingredients/1_supply_lamb_chops.png,2026-09-02T00:00:00.000Z
lamb-rack-ribs,Lamb Rack/Ribs,assets/ingredients/1_supply_lamb_chops.png,2026-09-02T00:00:00.000Z
lamb-shoulder,Lamb Shoulder,assets/ingredients/1_supply_lamb_chops.png,2026-09-02T00:00:00.000Z
lamb-stew-trim,Lamb Stew Trim,assets/ingredients/1_supply_lamb_chops.png,2026-09-02T00:00:00.000Z
pork-back-ribs,Pork Back Ribs,assets/ingredients/1_supply_ribs.png,2026-09-02T00:00:00.000Z
pork-belly,Pork Belly,assets/ingredients/1_supply_bacon_slab.png,2026-09-02T00:00:00.000Z
pork-boston-butt,Pork Boston Butt,assets/dishes/2_23_r4c2_pork_cutlet_set.png,2026-09-02T00:00:00.000Z
pork-ham,Pork Ham,assets/dishes/2_23_r4c2_pork_cutlet_set.png,2026-09-02T00:00:00.000Z
pork-loin-chops,Pork Loin/Chops,assets/dishes/2_23_r4c2_pork_cutlet_set.png,2026-09-02T00:00:00.000Z
pork-picnic-shoulder,Pork Picnic Shoulder,assets/dishes/2_23_r4c2_pork_cutlet_set.png,2026-09-02T00:00:00.000Z
pork-sausage-trim,Pork Sausage Trim,assets/ingredients/1_supply_meat_chunks.png,2026-09-02T00:00:00.000Z
pork-spare-ribs,Pork Spare Ribs,assets/ingredients/1_supply_ribs.png,2026-09-02T00:00:00.000Z
pork-tenderloin,Pork Tenderloin,assets/ingredients/1_supply_steak.png,2026-09-02T00:00:00.000Z
cattle-bones,Cattle Bones,assets/ingredients/1_supply_bones.png,2026-09-02T00:00:00.000Z
chickens-bones,Chickens Bones,assets/ingredients/ingredient_raw_poultry_bird.png,2026-09-02T00:00:00.000Z
pigs-bones,Pigs Bones,assets/ingredients/1_supply_bones.png,2026-09-02T00:00:00.000Z
pigs-fat,Pigs Fat,MISSING,2026-09-02T00:00:00.000Z
fish-sauce,Fish Sauce,assets/ingredients/ingredient_fish_fillet.png,2026-09-02T00:00:00.000Z
food-grade-calcium-hydroxide,Food-grade Calcium Hydroxide,MISSING,2026-09-02T00:00:00.000Z
kansui-salts,Kansui Salts,MISSING,2026-09-02T00:00:00.000Z
koji-starter,Koji Starter,MISSING,2026-09-02T00:00:00.000Z
salt,Salt,assets/ingredients/1_supply_salt.png,2026-09-02T00:00:00.000Z
cow-milk,Cow Milk,assets/ingredients/ingredient_cream_carton.png,2026-09-02T00:00:00.000Z
eggs,Eggs,assets/ingredients/1_supply_brown_speckled_eggs.png,2026-09-02T00:00:00.000Z
flies,Flies,assets/ingredients/1_supply_housefly.png,2026-09-02T00:00:00.000Z
goat-milk,Goat Milk,assets/ingredients/ingredient_cream_carton.png,2026-09-02T00:00:00.000Z
honey,Honey,assets/ingredients/ingredient_preserve_jar.png,2026-09-02T00:00:00.000Z
lobster,Lobster,assets/ingredients/ingredient_blue_crab.png,2026-09-02T00:00:00.000Z
maggots,Maggots,MISSING,2026-09-02T00:00:00.000Z
salmon,Salmon,assets/ingredients/ingredient_salmon_fillet_slice.png,2026-09-02T00:00:00.000Z
shrimp,Shrimp,assets/ingredients/1_supply_cooked_shrimp.png,2026-09-02T00:00:00.000Z
beef-broth,Beef Broth,assets/ingredients/1_supply_soup_broth_bowl.png,2026-09-02T00:00:00.000Z
butter,Butter,assets/ingredients/ingredient_butter_stick.png,2026-09-02T00:00:00.000Z
chashu,Chashu,assets/ingredients/1_supply_chashu_pork.png,2026-09-02T00:00:00.000Z
cheese,Cheese,assets/ingredients/ingredient_cheese_block.png,2026-09-02T00:00:00.000Z
chicken-broth,Chicken Broth,assets/ingredients/1_supply_soup_broth_bowl.png,2026-09-02T00:00:00.000Z
chocolate,Chocolate,MISSING,2026-09-02T00:00:00.000Z
cocoa-beans,Cocoa Beans,assets/ingredients/1_supply_cacao-pods.png,2026-09-02T00:00:00.000Z
corn-tortillas,Corn Tortillas,assets/ingredients/1_supply_ear_of_corn.png,2026-09-02T00:00:00.000Z
flour-tortillas,Flour Tortillas,assets/ingredients/1_supply_flour_sack.png,2026-09-02T00:00:00.000Z
menma,Menma,assets/ingredients/1_supply_menma.png,2026-09-02T00:00:00.000Z
milled-rice,Milled Rice,assets/ingredients/1_supply_rice_bowl.png,2026-09-02T00:00:00.000Z
miso,Miso,assets/ingredients/1_supply_miso.png,2026-09-02T00:00:00.000Z
mung-bean-sprouts,Mung Bean Sprouts,assets/ingredients/1_supply_mung_bean_sprouts.png,2026-09-02T00:00:00.000Z
nori,Nori,assets/ingredients/1_supply_nori.png,2026-09-02T00:00:00.000Z
pork-broth,Pork Broth,assets/ingredients/1_supply_soup_broth_bowl.png,2026-09-02T00:00:00.000Z
