id,name,type,family,stage,process_chain,art_status,art_url,hunger_key,flavor_key,star_roles,updatedAt
beef-brisket,Beef Brisket,Protein,Beef,primary,Cattle → Beef Brisket,present,assets/ingredients/1_supply_brisket.png,protein,other,,2026-09-02T00:00:00.000Z
beef-chuck-roast,Beef Chuck Roast,Protein,Beef,primary,Cattle → Beef Chuck Roast,present,assets/ingredients/1_supply_steak.png,protein,other,,2026-09-02T00:00:00.000Z
beef-flank,Beef Flank,Protein,Beef,primary,Cattle → Beef Flank,present,assets/ingredients/1_supply_steak.png,protein,other,,2026-09-02T00:00:00.000Z
beef-ribeye,Beef Ribeye,Protein,Beef,primary,Cattle → Beef Ribeye,present,assets/ingredients/1_supply_ribeye.png,protein,other,,2026-09-02T00:00:00.000Z
beef-round,Beef Round,Protein,Beef,primary,Cattle → Beef Round,present,assets/ingredients/1_supply_steak.png,protein,other,,2026-09-02T00:00:00.000Z
beef-shank,Beef Shank,Protein,Beef,primary,Cattle → Beef Shank,present,assets/ingredients/1_supply_steak.png,protein,other,,2026-09-02T00:00:00.000Z
beef-short-ribs,Beef Short Ribs,Protein,Beef,primary,Cattle → Beef Short Ribs,present,assets/ingredients/1_supply_ribs.png,protein,other,,2026-09-02T00:00:00.000Z
beef-sirloin,Beef Sirloin,Protein,Beef,primary,Cattle → Beef Sirloin,present,assets/ingredients/1_supply_steak.png,protein,other,,2026-09-02T00:00:00.000Z
beef-skirt-hanger,Beef Skirt/Hanger,Protein,Beef,primary,Cattle → Beef Skirt/Hanger,present,assets/ingredients/1_supply_steak.png,protein,other,,2026-09-02T00:00:00.000Z
beef-small-intestine,Beef Small Intestine,Protein,Beef,primary,Cattle → Beef Small Intestine,present,assets/ingredients/1_supply_steak.png,protein,other,,2026-09-02T00:00:00.000Z
beef-stew-trim,Beef Stew Trim,Protein,Beef,primary,Cattle → Beef Stew Trim,present,assets/ingredients/1_supply_meat_chunks.png,protein,other,,2026-09-02T00:00:00.000Z
beef-strip,Beef Strip,Protein,Beef,primary,Cattle → Beef Strip,present,assets/ingredients/1_supply_steak.png,protein,other,,2026-09-02T00:00:00.000Z
beef-tenderloin,Beef Tenderloin,Protein,Beef,primary,Cattle → Beef Tenderloin,present,assets/ingredients/1_supply_steak.png,protein,other,,2026-09-02T00:00:00.000Z
beef-tongue,Beef Tongue,Protein,Beef,primary,Cattle → Beef Tongue,present,assets/ingredients/1_supply_steak.png,protein,other,,2026-09-02T00:00:00.000Z
beef-trim,Beef Trim,Protein,Beef,primary,Cattle → Beef Trim,present,assets/ingredients/1_supply_meat_scraps.png,protein,other,,2026-09-02T00:00:00.000Z
chicken-breast,Chicken Breast,Protein,Chicken,primary,Chickens → Chicken Breast,present,assets/ingredients/ingredient_raw_poultry_bird.png,protein,other,,2026-09-02T00:00:00.000Z
chicken-drumstick,Chicken Drumstick,Protein,Chicken,primary,Chickens → Chicken Drumstick,present,assets/ingredients/ingredient_raw_poultry_bird.png,protein,other,,2026-09-02T00:00:00.000Z
chicken-thigh,Chicken Thigh,Protein,Chicken,primary,Chickens → Chicken Thigh,present,assets/ingredients/ingredient_raw_poultry_bird.png,protein,other,,2026-09-02T00:00:00.000Z
chicken-trim,Chicken Trim,Protein,Chicken,primary,Chickens → Chicken Trim,present,assets/ingredients/1_supply_meat_scraps.png,protein,other,,2026-09-02T00:00:00.000Z
chicken-wings,Chicken Wings,Protein,Chicken,primary,Chickens → Chicken Wings,present,assets/ingredients/ingredient_raw_poultry_bird.png,protein,other,,2026-09-02T00:00:00.000Z
goat-leg,Goat Leg,Protein,Goat,primary,Goats → Goat Leg,present,assets/ingredients/1_supply_lamb_chops.png,protein,other,,2026-09-02T00:00:00.000Z
